Timestamp,Array_ID,Array_Type,LUN_ID,Workload_ID,IOPS_Read,IOPS_Write,IOPS_Total,Throughput_Read_MBs,Throughput_Write_MBs,Throughput_Total_MBs,Latency,Queue_Depth,Cache_Hit_Pct,Utilization_Pct
2026-07-01 00:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-004,WKL-OPS-003,12642,11692,24334,221.87,332.6,554.47,205,14,90.71,64.39
2026-07-01 00:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-005,WKL-FIN-015,11403,4024,15427,237.56,39.74,277.3,6.62,62,48.68,38.07
2026-07-01 00:00:00,NAS-NWK-01,NAS,LUN-NAS-NWK-01-001,WKL-FIN-007,29032,3754,32786,1139.17,127.43,1266.6,22.39,31,90.33,76.51
2026-07-01 04:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-002,WKL-FIN-006,18635,831,19466,424.4,7.99,432.39,147,55,43.68,14.21
2026-07-01 04:00:00,NVM-NWK-02,NVMe,LUN-NVM-NWK-02-006,WKL-FIN-002,29063,3705,32768,757.0,55.48,812.48,229,61,77.85,25.65
2026-07-01 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-003,WKL-OPS-010,16172,6624,22796,396.73,93.49,490.22,4.76,36,70.57,73.14
2026-07-01 04:00:00,SAN-NWK-01,SAN,LUN-SAN-NWK-01-004,WKL-OPS-002,19204,11416,30620,550.56,270.63,821.19,12.2,31,79.2,49.08
2026-07-01 04:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-001,WKL-FIN-018,24627,6701,31328,481.41,118.42,599.83,11.06,25,53.96,80.56
2026-07-01 04:00:00,SAN-NWK-02,SAN,LUN-SAN-NWK-02-003,WKL-FIN-011,23079,2562,25641,509.93,35.61,545.54,2.19,37,65.04,72.58
2026-07-01 04:00:00,NAS-STM-01,NAS,LUN-NAS-STM-01-002,WKL-FIN-008,21728,2904,24632,672.08,70.52,742.6,9.02,20,66.9,55.93
2026-07-01 08:00:00,NVM-NWK-01,NVMe,LUN-NVM-NWK-01-002,WKL-FIN-002,33498,26677,60175,1219.26,629.96,1849.22,188,41,75.12,36.12
2026-07-01 08:00:00,NVM-STM-01,NVMe,LUN-NVM-STM-01-001,WKL-FIN-014,37164,26541,63705,602.91,912.75,1515.66,173,35,88.15,45.13
