facility,room,row,rack_id,rack_unit,unit_height,equipment_type,hostname,asset_tag,serial_number,manufacturer,model,cpu_sockets,ram_gb,power_draw_watts,power_circuit,pdu_port,network_port_primary,network_port_secondary,vlan_primary,ip_address_mgmt,ip_address_production,install_date,warranty_expiry,operational_status,thermal_zone,weight_lbs,cable_path,business_unit,application_mapped,notes
Facility A,Data Hall 2,Row B,NWK-R31,1U,1U,Patch Panel,PP-NWK-R31-Bottom,PP-15848,SN-PP-376085,Panduit,24-Port LC Fiber,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-04-27,N/A,Active,Cold Aisle 1,7,Overhead Tray A,Facilities,Cabling Infrastructure,22 ports in use of 24 total
Facility A,Data Hall 3,Row G,NWK-R51,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R51-TEMP,SENS-18869,SN-SENS-895284,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.7.216,,2021-05-16,2027-02-23,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-09-07
Facility A,Data Hall 2,Row C,NWK-R37,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R37-TEMP,SENS-71156,SN-SENS-619647,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.6.133,,2021-12-08,2026-05-14,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-01-13
Facility A,Data Hall 1,Row D,NWK-R64,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R64-TEMP,SENS-90050,SN-SENS-756602,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.7.17,,2021-11-02,2026-05-28,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-10-25
Facility A,Data Hall 3,Row D,NWK-R34,20U,2U,Server,SVR-NWK-107,AST-1107,SN-DC-2020-0107,HPE,ProLiant DL360 Gen10 Plus,2,128,373,Ckt-A-1,PDU-A-13,Eth-25/4,Eth-36/4,VLAN-103,10.100.0.57,10.10.0.57,2024-01-23,2027-02-16,Active,Cold Aisle 2,76,Under-floor Path 1,Core Banking,App-68,
Facility A,Data Hall 1,Row D,NWK-R63,1U,1U,Patch Panel,PP-NWK-R63-Bottom,PP-22015,SN-PP-794963,Leviton,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-01-26,N/A,Active,Cold Aisle 1,4,Overhead Tray B,Facilities,Cabling Infrastructure,43 ports in use of 24 total
Facility A,Data Hall 3,Row B,NWK-R19,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R19-POWE,SENS-16875,SN-SENS-663463,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.41,,2021-08-17,2026-02-08,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-07-07
Facility A,Data Hall 1,Row A,NWK-R32,42U,0U,PDU,PDU-NWK-R32-B,PDU-64138,SN-PDU-333365,ServerTech,ServerTech CWG-24VYM415,0,0,21,Ckt-B-4,N/A,Mgmt-1,,VLAN-200,10.100.3.238,,2022-10-16,2028-08-08,Active,Cold Aisle 2,11,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 17.3 kW
Facility A,Data Hall 2,Row H,NWK-R18,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R18-HUMI,SENS-39958,SN-SENS-953740,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.185,,2023-04-18,2029-07-07,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-01-06
Facility A,Data Hall 1,Row H,NWK-R22,42U,0U,PDU,PDU-NWK-R22-B,PDU-83140,SN-PDU-879592,ServerTech,ServerTech CWG-24VYM415,0,0,28,Ckt-B-6,N/A,Mgmt-1,,VLAN-200,10.100.10.69,,2023-01-24,2026-05-03,Active,Hot Aisle 2,13,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 5.7 kW
